Isolate,BioSample,Assembly,amoxicillin-clavulanic acid,cefepime,cefoxitin,ceftazidime,ceftriaxone,ciprofloxacin,gentamicin,levofloxacin,piperacillin-tazobactam,tetracycline,tobramycin,trimethoprim-sulfamethoxazole
PDT001830679.1,SAMN36727268,GCA_032333315.1,S,S,S,S,R,I,S,I,S,S,S,S
PDT001830680.1,SAMN36727285,GCA_032333295.1,S,S,S,S,R,R,S,R,S,R,S,R
PDT001830686.1,SAMN36727278,GCA_032333255.1,S,S,S,S,R,I,S,I,S,R,S,R
PDT001830687.1,SAMN36727277,GCA_032333215.1,R,R,R,R,R,R,R,R,R,R,I,R
PDT001830689.1,SAMN36727267,GCA_032333195.1,R,R,S,S,R,S,S,S,R,S,S,S
PDT001830754.1,SAMN36729192,GCA_032332355.1,S,S,S,R,R,R,S,R,S,R,S,R
PDT001830758.1,SAMN36729164,GCA_032332275.1,S,S,S,S,S,R,S,R,S,R,S,S
PDT001830759.1,SAMN36729163,GCA_032332255.1,R,S,R,R,R,S,S,S,R,S,S,S
PDT001830762.1,SAMN36729158,GCA_032332235.1,S,S,S,S,R,R,S,R,S,S,S,S
PDT001830763.1,SAMN36729156,GCA_032332215.1,S,S,S,S,R,R,R,R,S,R,R,R
PDT001830764.1,SAMN36729155,GCA_032332195.1,S,S,R,R,R,R,S,R,S,S,S,S
PDT001830767.1,SAMN36729152,GCA_032332115.1,S,S,S,S,S,S,S,S,S,R,S,S
PDT001830770.1,SAMN36728916,GCA_032332095.1,S,R,I,R,R,R,S,R,S,R,S,R
PDT001830771.1,SAMN36729149,GCA_032332075.1,S,R,S,R,R,R,S,R,S,R,S,R
PDT001830775.2,SAMN36729145,GCA_031776455.1,R,S,S,R,R,R,R,R,S,S,R,R
PDT001830778.1,SAMN36728989,GCA_032331955.1,S,S,S,S,R,S,S,S,S,R,S,R
PDT001830782.1,SAMN36728986,GCA_032331975.1,S,S,S,S,R,I,S,I,S,S,S,S
